Produced Item Name,Qty Made,Perks Needed,Items Required
Bandage,1,,1 Cotton Cloth
Bandage,1,,1 Cotton Cloth - Black
Bandage,1,,1 Cotton Cloth - Blue
Bandage,1,,1 Cotton Cloth - Brown
Bandage,1,,1 Cotton Cloth - Green
Bandage,1,,1 Cotton Cloth - Grey
Bandage,1,,1 Cotton Cloth - Indigo
Bandage,1,,1 Cotton Cloth - Orange
Bandage,1,,1 Cotton Cloth - Purple
Bandage,1,,1 Cotton Cloth - Red
Bandage,1,,1 Cotton Cloth - Tan
Bandage,1,,1 Cotton Cloth - Yellow
Bandage,1,,1 Linen Cloth
Bandage,1,,1 Linen Cloth - Black
Bandage,1,,1 Linen Cloth - Blue
Bandage,1,,1 Linen Cloth - Brown
Bandage,1,,1 Linen Cloth - Green
Bandage,1,,1 Linen Cloth - Grey
Bandage,1,,1 Linen Cloth - Indigo
Bandage,1,,1 Linen Cloth - Orange
Bandage,1,,1 Linen Cloth - Purple
Bandage,1,,1 Linen Cloth - Red
Bandage,1,,1 Linen Cloth - Tan
Bandage,1,,1 Linen Cloth - Yellow
Bloody Rags,2,,"1 Linen Tunic - Belted Black, Bloody"
Bone Hawk Claw,3,,1 Bone Hawk Ring
Bone Hawk Feathers,6,,1 Bone Hawk Amulet
Charcoal,3,,1 Forsworn Light Bow
Charcoal,3,,1 Forsworn Sword
Charcoal,5,,1 Forsworn War Axe
Charcoal,1,,1 Imperial Heavy Bow
Charcoal,3,,1 Iron Woodcutter's Axe
Charcoal,1,,1 Wooden Sword
Cotton Cloth - Black,1,,1 Cotton Boots - Thalmor
Cotton Cloth - Black,1,,1 Cotton Cuffed Boots
Cotton Cloth - Black,1,,1 Cotton Gloves - Thalmor
Cotton Cloth - Black,1,,1 Cotton Jester's Boots
Cotton Cloth - Black,1,,1 Cotton Jester's Boots
Cotton Cloth - Black,1,,1 Cotton Jester's Gloves
Cotton Cloth - Black,1,,1 Cotton Jester's Gloves
Cotton Cloth - Black,1,,1 Cotton Mage Hood - Embellished
Cotton Cloth - Black,1,,1 Cotton Mage Hood of Apprentice Regeneration
Cotton Cloth - Black,2,,1 Cotton Quilted Clothes - Black and White
Cotton Cloth - Black,2,,1 Cotton Robes - Thalmor
Cotton Cloth - Black,2,,1 Cotton Robes - Thalmor
Cotton Cloth - Black,1,,1 Focusing Gloves
Cotton Cloth - Blue,1,,1 Cotton Fur-Mantled Clothes - Blue
Cotton Cloth - Blue,1,,1 Cotton Mage Robes - Common
Cotton Cloth - Blue,1,,1 Cotton Mage Robes - Embellished
Cotton Cloth - Blue,1,,1 Cotton Mage Robes of Novice Regeneration
Cotton Cloth - Blue,1,,1 Cotton Reclamations Temple Hood
